Ward,Latitude,Longitude,Crime_Type,Datetime,Hour,TimeSlot,DayOfWeek
Itwari,21.147106,79.076507,Robbery_Snatching,2025-04-09 09:24:36.538019,19,Evening,Wednesday
Jaripatka,21.112755,79.042765,Other,2025-03-23 08:24:36.538035,18,Evening,Sunday
Itwari,21.191864,79.065575,Crimes_Against_Women,2024-09-05 02:24:36.538051,12,Afternoon,Thursday
Jaripatka,21.198303,79.021887,Theft_Burglary,2025-07-26 13:24:36.538068,23,Evening,Saturday
Mahal,21.162191,79.107791,Crimes_Against_Women,2024-10-05 08:24:36.538085,18,Evening,Saturday
Hudkeshwar,21.103015,79.089924,Theft_Burglary,2025-01-20 01:24:36.538108,11,Morning,Monday
Jaripatka,21.126204,79.128124,Crimes_Against_Women,2024-11-16 17:24:36.538125,3,Night,Saturday
Mankapur,21.089638,79.062024,Other,2024-10-25 10:24:36.538142,20,Evening,Friday
Sadar,21.145145,79.073385,Robbery_Snatching,2025-03-06 10:24:36.538159,20,Evening,Thursday
Dharampeth,21.153069,79.02318,Crimes_Against_Women,2025-06-15 15:24:36.538175,1,Night,Sunday
Hudkeshwar,21.085387,79.074395,Assault_Violence,2025-07-26 06:24:36.538191,16,Afternoon,Saturday
Mahal,21.151893,79.032341,Robbery_Snatching,2025-02-27 07:24:36.538207,17,Afternoon,Thursday
Mahal,21.132816,79.037334,Assault_Violence,2024-11-05 10:24:36.538223,20,Evening,Tuesday
Mahal,21.143233,79.041229,Theft_Burglary,2024-10-21 08:24:36.538245,18,Evening,Monday
Mankapur,21.104799,79.110933,Crimes_Against_Women,2024-11-19 06:24:36.538262,16,Afternoon,Tuesday
Sitabuldi,21.134649,79.126948,Crimes_Against_Women,2025-06-20 09:24:36.538278,19,Evening,Friday
Sitabuldi,21.108396,79.130542,Assault_Violence,2025-01-22 07:24:36.538295,17,Afternoon,Wednesday
Sitabuldi,21.090576,79.06028,Crimes_Against_Women,2024-11-12 02:24:36.538311,12,Afternoon,Tuesday
Hudkeshwar,21.104905,79.115384,Theft_Burglary,2025-04-27 09:24:36.538328,19,Evening,Sunday
Mahal,21.125882,79.058195,Crimes_Against_Women,2025-01-12 02:24:36.538345,12,Afternoon,Sunday
Itwari,21.19042,79.079146,Theft_Burglary,2025-06-27 08:24:36.538363,18,Evening,Friday
Mahal,21.147728,79.084077,Assault_Violence,2025-07-05 11:24:36.538380,21,Evening,Saturday
Mahal,21.108092,79.024505,Assault_Violence,2025-06-26 08:24:36.538395,18,Evening,Thursday
Itwari,21.092372,79.113577,Assault_Violence,2025-08-06 19:24:36.538411,5,Night,Wednesday
Mahal,21.12523,79.021229,Assault_Violence,2025-05-22 13:24:36.538427,23,Evening,Thursday
Jaripatka,21.093707,79.063371,Theft_Burglary,2024-09-27 15:24:36.538443,1,Night,Friday
Sitabuldi,21.092688,79.04325,Assault_Violence,2024-10-09 16:24:36.538459,2,Night,Wednesday
Sitabuldi,21.134704,79.040856,Robbery_Snatching,2025-07-24 15:24:36.538475,1,Night,Thursday
Sitabuldi,21.168406,79.096988,Crimes_Against_Women,2025-08-05 20:24:36.538492,6,Morning,Tuesday
Mahal,21.094032,79.1492,Theft_Burglary,2025-07-24 04:24:36.538509,14,Afternoon,Thursday
Jaripatka,21.170457,79.055086,Crimes_Against_Women,2024-10-12 08:24:36.538524,18,Evening,Saturday
Mahal,21.168603,79.10253,Assault_Violence,2025-06-09 10:24:36.538542,20,Evening,Monday
Sitabuldi,21.174729,79.039794,Theft_Burglary,2025-07-12 08:24:36.538563,18,Evening,Saturday
Sadar,21.148375,79.076812,Theft_Burglary,2024-11-05 19:24:36.538579,5,Night,Tuesday
Ajni,21.085696,79.106534,Theft_Burglary,2025-06-12 11:24:36.538596,21,Evening,Thursday
Itwari,21.188384,79.105228,Assault_Violence,2025-05-08 08:24:36.538612,18,Evening,Thursday
Dharampeth,21.186485,79.026096,Assault_Violence,2025-03-01 00:24:36.538628,10,Morning,Saturday
Jaripatka,21.197223,79.086465,Assault_Violence,2024-10-10 20:24:36.538648,6,Morning,Thursday
Mahal,21.169836,79.056509,Theft_Burglary,2025-06-27 15:24:36.538666,1,Night,Friday
Hudkeshwar,21.153208,79.107584,Theft_Burglary,2024-09-23 08:24:36.538683,18,Evening,Monday
Ajni,21.176073,79.111116,Assault_Violence,2024-08-21 17:24:36.538701,3,Night,Wednesday
Itwari,21.155171,79.032585,Theft_Burglary,2025-01-17 09:24:36.538717,19,Evening,Friday
Ajni,21.181119,79.069817,Theft_Burglary,2025-04-16 20:24:36.538733,6,Morning,Wednesday
Sadar,21.123172,79.148783,Theft_Burglary,2025-01-23 13:24:36.538750,23,Evening,Thursday
Sadar,21.110836,79.0508,Crimes_Against_Women,2025-06-16 13:24:36.538766,23,Evening,Monday
Hudkeshwar,21.091683,79.094161,Assault_Violence,2025-01-07 12:24:36.538781,22,Evening,Tuesday
Hudkeshwar,21.15334,79.024756,Theft_Burglary,2025-04-05 05:24:36.538798,15,Afternoon,Saturday
Jaripatka,21.113312,79.125129,Robbery_Snatching,2025-05-31 13:24:36.538814,23,Evening,Saturday
Mahal,21.141805,79.065251,Assault_Violence,2025-08-06 13:24:36.538831,23,Evening,Wednesday
Sadar,21.085364,79.07497,Assault_Violence,2025-05-14 00:24:36.538848,10,Morning,Wednesday
Itwari,21.129308,79.12046,Theft_Burglary,2025-05-18 23:24:36.538864,9,Morning,Sunday
Manewada,21.099516,79.056141,Assault_Violence,2024-10-15 10:24:36.538886,20,Evening,Tuesday
Jaripatka,21.165174,79.121441,Assault_Violence,2025-05-18 01:24:36.538902,11,Morning,Sunday
Sadar,21.183534,79.044635,Other,2024-12-06 02:24:36.538920,12,Afternoon,Friday
Itwari,21.109846,79.036601,Theft_Burglary,2025-02-17 06:24:36.538937,16,Afternoon,Monday
Dharampeth,21.155604,79.112373,Crimes_Against_Women,2024-09-07 12:24:36.538954,22,Evening,Saturday
Ajni,21.180718,79.123811,Theft_Burglary,2024-10-20 06:24:36.538970,16,Afternoon,Sunday
Hudkeshwar,21.102104,79.092278,Assault_Violence,2025-07-31 00:24:36.538986,10,Morning,Thursday
Sitabuldi,21.137331,79.059042,Crimes_Against_Women,2025-04-27 06:24:36.539002,16,Afternoon,Sunday
Sitabuldi,21.097778,79.128728,Robbery_Snatching,2024-09-17 03:24:36.539018,13,Afternoon,Tuesday
Sitabuldi,21.184267,79.061981,Assault_Violence,2024-12-02 20:24:36.539035,6,Morning,Monday
Mankapur,21.116522,79.119248,Robbery_Snatching,2025-04-12 01:24:36.539052,11,Morning,Saturday
Ajni,21.146589,79.027048,Assault_Violence,2024-10-26 14:24:36.539068,0,Night,Saturday
Manewada,21.149892,79.031409,Assault_Violence,2025-04-30 13:24:36.539085,23,Evening,Wednesday
Sadar,21.106831,79.02986,Crimes_Against_Women,2025-03-05 07:24:36.539103,17,Afternoon,Wednesday
Mahal,21.150305,79.091262,Crimes_Against_Women,2024-09-19 01:24:36.539120,11,Morning,Thursday
Sitabuldi,21.103423,79.079103,Assault_Violence,2025-03-30 13:24:36.539136,23,Evening,Sunday
Dharampeth,21.149905,79.115097,Other,2025-01-13 22:24:36.539152,8,Morning,Monday
Jaripatka,21.192808,79.09923,Assault_Violence,2024-08-26 17:24:36.539167,3,Night,Monday
Ajni,21.084361,79.093862,Crimes_Against_Women,2025-05-29 14:24:36.539186,0,Night,Thursday
Sadar,21.157013,79.055404,Theft_Burglary,2024-10-19 05:24:36.539204,15,Afternoon,Saturday
Ajni,21.154457,79.068752,Assault_Violence,2024-12-07 16:24:36.539220,2,Night,Saturday
Hudkeshwar,21.081757,79.147959,Other,2025-06-04 12:24:36.539235,22,Evening,Wednesday
Sitabuldi,21.172266,79.097972,Crimes_Against_Women,2025-07-08 04:24:36.539251,14,Afternoon,Tuesday
Mahal,21.175565,79.14187,Assault_Violence,2025-05-07 12:24:36.539267,22,Evening,Wednesday
Sadar,21.144437,79.044294,Crimes_Against_Women,2025-07-09 12:24:36.539283,22,Evening,Wednesday
Ajni,21.134242,79.046558,Crimes_Against_Women,2024-09-03 09:24:36.539299,19,Evening,Tuesday
Jaripatka,21.102391,79.036475,Theft_Burglary,2025-01-26 12:24:36.539315,22,Evening,Sunday
Jaripatka,21.158306,79.148302,Crimes_Against_Women,2025-01-19 12:24:36.539334,22,Evening,Sunday
Itwari,21.119508,79.115051,Crimes_Against_Women,2025-04-22 11:24:36.539350,21,Evening,Tuesday
Jaripatka,21.095057,79.027563,Other,2025-07-25 02:24:36.539366,12,Afternoon,Friday
Itwari,21.196495,79.112963,Robbery_Snatching,2025-07-05 02:24:36.539382,12,Afternoon,Saturday
Jaripatka,21.197677,79.069526,Assault_Violence,2025-05-16 20:24:36.539397,6,Morning,Friday
Ajni,21.150713,79.035544,Other,2025-06-02 09:24:36.539413,19,Evening,Monday
Sitabuldi,21.134755,79.148025,Assault_Violence,2025-04-07 11:24:36.539430,21,Evening,Monday
Jaripatka,21.196224,79.079808,Crimes_Against_Women,2024-10-25 18:24:36.539446,4,Night,Friday
Hudkeshwar,21.199425,79.143655,Other,2024-09-04 08:24:36.539461,18,Evening,Wednesday
Sitabuldi,21.088942,79.141877,Robbery_Snatching,2025-06-28 06:24:36.539477,16,Afternoon,Saturday
Dharampeth,21.11477,79.048565,Other,2025-05-11 06:24:36.539493,16,Afternoon,Sunday
Sitabuldi,21.169394,79.081947,Assault_Violence,2025-08-02 11:24:36.539508,21,Evening,Saturday
Itwari,21.141234,79.071774,Other,2025-04-10 01:24:36.539524,11,Morning,Thursday
Sadar,21.112134,79.13246,Assault_Violence,2025-02-18 09:24:36.539539,19,Evening,Tuesday
Sadar,21.127843,79.139427,Assault_Violence,2024-12-14 10:24:36.539555,20,Evening,Saturday
Itwari,21.153128,79.110908,Robbery_Snatching,2025-08-01 09:24:36.539570,19,Evening,Friday
Hudkeshwar,21.115926,79.079313,Other,2025-01-22 07:24:36.539586,17,Afternoon,Wednesday
Sadar,21.178658,79.109754,Other,2025-03-06 17:24:36.539602,3,Night,Thursday
Mankapur,21.117648,79.10117,Crimes_Against_Women,2025-02-11 12:24:36.539618,22,Evening,Tuesday
Hudkeshwar,21.178867,79.130133,Theft_Burglary,2025-02-05 23:24:36.539634,9,Morning,Wednesday
Jaripatka,21.19126,79.046273,Other,2025-06-10 18:24:36.539649,4,Night,Tuesday
Sadar,21.085651,79.0753,Crimes_Against_Women,2025-06-13 11:24:36.539664,21,Evening,Friday
Jaripatka,21.140183,79.035576,Other,2025-04-14 11:24:36.539681,21,Evening,Monday
Itwari,21.108603,79.061174,Theft_Burglary,2024-11-08 11:24:36.539703,21,Evening,Friday
Dharampeth,21.145805,79.142124,Crimes_Against_Women,2025-07-28 07:24:36.539722,17,Afternoon,Monday
Itwari,21.097073,79.117804,Assault_Violence,2024-11-30 23:24:36.539738,9,Morning,Saturday
Jaripatka,21.135338,79.069283,Theft_Burglary,2025-01-01 18:24:36.539756,4,Night,Wednesday
Jaripatka,21.107754,79.029455,Crimes_Against_Women,2024-09-02 10:24:36.539772,20,Evening,Monday
Mahal,21.185973,79.114637,Crimes_Against_Women,2024-09-03 11:24:36.539790,21,Evening,Tuesday
Mahal,21.122715,79.054786,Assault_Violence,2024-12-19 05:24:36.539806,15,Afternoon,Thursday
Sitabuldi,21.196314,79.125533,Crimes_Against_Women,2024-11-29 02:24:36.539822,12,Afternoon,Friday
Itwari,21.133043,79.054431,Other,2025-08-17 20:24:36.539837,6,Morning,Sunday
Sitabuldi,21.082791,79.023809,Assault_Violence,2025-01-23 09:24:36.539855,19,Evening,Thursday
Itwari,21.095273,79.02666,Assault_Violence,2024-09-11 10:24:36.539871,20,Evening,Wednesday
Sitabuldi,21.142168,79.035331,Theft_Burglary,2024-11-07 03:24:36.539887,13,Afternoon,Thursday
Mahal,21.179345,79.027018,Crimes_Against_Women,2025-03-20 04:24:36.539904,14,Afternoon,Thursday
Mahal,21.094131,79.104895,Assault_Violence,2024-11-02 13:24:36.539937,23,Evening,Saturday
Jaripatka,21.088465,79.066672,Crimes_Against_Women,2024-11-28 20:24:36.539953,6,Morning,Thursday
Mahal,21.178324,79.091019,Theft_Burglary,2024-11-24 12:24:36.539969,22,Evening,Sunday
Ajni,21.116978,79.043984,Crimes_Against_Women,2024-09-25 10:24:36.539985,20,Evening,Wednesday
Jaripatka,21.106251,79.072097,Other,2025-07-20 07:24:36.540001,17,Afternoon,Sunday
Ajni,21.170955,79.092088,Theft_Burglary,2024-09-13 07:24:36.540018,17,Afternoon,Friday
Dharampeth,21.155828,79.044365,Crimes_Against_Women,2025-03-05 11:24:36.540033,21,Evening,Wednesday
Mahal,21.09864,79.110655,Theft_Burglary,2025-06-05 23:24:36.540049,9,Morning,Thursday
Sadar,21.125925,79.058617,Theft_Burglary,2025-02-06 10:24:36.540065,20,Evening,Thursday
Itwari,21.106061,79.03534,Robbery_Snatching,2025-05-28 13:24:36.540083,23,Evening,Wednesday
Sitabuldi,21.133441,79.023657,Crimes_Against_Women,2024-10-25 17:24:36.540100,3,Night,Friday
Sitabuldi,21.181544,79.134319,Other,2025-05-08 05:24:36.540116,15,Afternoon,Thursday
Jaripatka,21.177434,79.139268,Assault_Violence,2024-12-19 13:24:36.540131,23,Evening,Thursday
Ajni,21.162043,79.067622,Theft_Burglary,2025-06-18 11:24:36.540146,21,Evening,Wednesday
Mahal,21.19309,79.116982,Other,2024-11-05 12:24:36.540163,22,Evening,Tuesday
Jaripatka,21.167274,79.087085,Robbery_Snatching,2025-05-05 20:24:36.540179,6,Morning,Monday
Jaripatka,21.117672,79.097128,Robbery_Snatching,2024-09-04 23:24:36.540195,9,Morning,Wednesday
Hudkeshwar,21.160996,79.135563,Assault_Violence,2025-02-06 14:24:36.540210,0,Night,Thursday
Ajni,21.110203,79.118902,Assault_Violence,2025-07-30 13:24:36.540229,23,Evening,Wednesday
Ajni,21.194323,79.144613,Crimes_Against_Women,2025-01-02 13:24:36.540246,23,Evening,Thursday
Ajni,21.179809,79.107573,Crimes_Against_Women,2024-09-15 12:24:36.540263,22,Evening,Sunday
Manewada,21.116835,79.076505,Robbery_Snatching,2024-10-30 12:24:36.540282,22,Evening,Wednesday
Sadar,21.127032,79.035534,Assault_Violence,2024-12-14 23:24:36.540299,9,Morning,Saturday
Jaripatka,21.17791,79.14872,Crimes_Against_Women,2025-05-31 02:24:36.540316,12,Afternoon,Saturday
Mahal,21.183353,79.144055,Other,2024-12-31 05:24:36.540332,15,Afternoon,Tuesday
Mahal,21.087223,79.090335,Crimes_Against_Women,2025-08-06 10:24:36.540348,20,Evening,Wednesday
Sitabuldi,21.170211,79.047539,Theft_Burglary,2025-03-19 09:24:36.540363,19,Evening,Wednesday
Manewada,21.199038,79.061513,Crimes_Against_Women,2024-12-13 06:24:36.540379,16,Afternoon,Friday
Itwari,21.195034,79.099466,Assault_Violence,2024-09-01 17:24:36.540399,3,Night,Sunday
Sitabuldi,21.123775,79.046772,Robbery_Snatching,2024-10-09 09:24:36.540415,19,Evening,Wednesday
Mankapur,21.161429,79.045867,Crimes_Against_Women,2025-07-19 08:24:36.540432,18,Evening,Saturday
Dharampeth,21.171389,79.079245,Assault_Violence,2025-02-09 13:24:36.540447,23,Evening,Sunday
Jaripatka,21.108421,79.09625,Other,2025-03-16 12:24:36.540464,22,Evening,Sunday
Jaripatka,21.09441,79.066863,Other,2024-09-01 21:24:36.540480,7,Morning,Sunday
Dharampeth,21.093072,79.145807,Crimes_Against_Women,2024-09-11 03:24:36.540496,13,Afternoon,Wednesday
Hudkeshwar,21.186578,79.138705,Assault_Violence,2025-07-14 08:24:36.540512,18,Evening,Monday
Ajni,21.116032,79.044674,Crimes_Against_Women,2025-03-11 13:24:36.540528,23,Evening,Tuesday
Mahal,21.184861,79.05384,Assault_Violence,2025-01-27 12:24:36.540546,22,Evening,Monday
Mahal,21.193534,79.102487,Other,2025-07-22 13:24:36.540563,23,Evening,Tuesday
Dharampeth,21.131985,79.038184,Assault_Violence,2025-02-09 22:24:36.540578,8,Morning,Sunday
Ajni,21.129283,79.129624,Crimes_Against_Women,2025-05-22 08:24:36.540594,18,Evening,Thursday
Sitabuldi,21.176966,79.023825,Assault_Violence,2024-09-18 09:24:36.540611,19,Evening,Wednesday
Manewada,21.086998,79.034896,Crimes_Against_Women,2025-01-02 21:24:36.540628,7,Morning,Thursday
Mahal,21.162633,79.146361,Theft_Burglary,2024-11-24 04:24:36.540644,14,Afternoon,Sunday
Ajni,21.147984,79.02128,Crimes_Against_Women,2025-04-30 14:24:36.540661,0,Night,Wednesday
Sadar,21.117797,79.082198,Crimes_Against_Women,2024-10-15 21:24:36.540677,7,Morning,Tuesday
Sadar,21.168777,79.099133,Crimes_Against_Women,2025-07-24 08:24:36.540693,18,Evening,Thursday
Dharampeth,21.110565,79.022436,Crimes_Against_Women,2025-03-01 10:24:36.540708,20,Evening,Saturday
Mahal,21.084695,79.039084,Assault_Violence,2025-05-26 03:24:36.540724,13,Afternoon,Monday
Sitabuldi,21.187388,79.034728,Crimes_Against_Women,2025-02-26 05:24:36.540739,15,Afternoon,Wednesday
Itwari,21.102763,79.147443,Theft_Burglary,2024-09-06 19:24:36.540760,5,Night,Friday
Itwari,21.119967,79.094762,Robbery_Snatching,2025-04-07 08:24:36.540776,18,Evening,Monday
Itwari,21.175933,79.029736,Crimes_Against_Women,2025-08-18 08:24:36.540792,18,Evening,Monday
Itwari,21.117954,79.118141,Theft_Burglary,2024-11-17 20:24:36.540808,6,Morning,Sunday
Sitabuldi,21.122981,79.036806,Robbery_Snatching,2025-06-28 23:24:36.540824,9,Morning,Saturday
Itwari,21.089211,79.094974,Crimes_Against_Women,2025-01-05 20:24:36.540840,6,Morning,Sunday
Sitabuldi,21.171759,79.122771,Assault_Violence,2025-06-29 05:24:36.540855,15,Afternoon,Sunday
Manewada,21.08511,79.133786,Theft_Burglary,2025-01-29 10:24:36.540946,20,Evening,Wednesday
Ajni,21.110759,79.033647,Assault_Violence,2025-04-08 22:24:36.540964,8,Morning,Tuesday
Sadar,21.17266,79.054831,Assault_Violence,2025-05-04 08:24:36.540980,18,Evening,Sunday
Sitabuldi,21.133907,79.09826,Crimes_Against_Women,2024-09-04 05:24:36.540996,15,Afternoon,Wednesday
Manewada,21.152599,79.042509,Theft_Burglary,2025-04-20 02:24:36.541012,12,Afternoon,Sunday
Mankapur,21.080393,79.073519,Theft_Burglary,2025-04-06 11:24:36.541028,21,Evening,Sunday
Itwari,21.185674,79.102831,Assault_Violence,2025-08-17 13:24:36.541044,23,Evening,Sunday
Dharampeth,21.110743,79.115012,Assault_Violence,2025-04-26 13:24:36.541059,23,Evening,Saturday
Ajni,21.158272,79.052898,Theft_Burglary,2025-08-19 10:24:36.541074,20,Evening,Tuesday
Sitabuldi,21.090186,79.139139,Robbery_Snatching,2025-06-06 13:24:36.541090,23,Evening,Friday
Dharampeth,21.16804,79.053075,Robbery_Snatching,2024-09-19 13:24:36.541106,23,Evening,Thursday
Mahal,21.1231,79.070544,Theft_Burglary,2025-07-04 10:24:36.541121,20,Evening,Friday
Mankapur,21.137717,79.092168,Crimes_Against_Women,2024-09-27 10:24:36.541137,20,Evening,Friday
Itwari,21.132119,79.101247,Robbery_Snatching,2024-12-05 03:24:36.541153,13,Afternoon,Thursday
Hudkeshwar,21.084547,79.02414,Robbery_Snatching,2025-02-11 11:24:36.541169,21,Evening,Tuesday
Ajni,21.156486,79.026851,Assault_Violence,2024-12-18 21:24:36.541185,7,Morning,Wednesday
Itwari,21.142351,79.039594,Robbery_Snatching,2024-11-10 03:24:36.541201,13,Afternoon,Sunday
Mahal,21.198148,79.127371,Robbery_Snatching,2025-01-13 02:24:36.541218,12,Afternoon,Monday
Sitabuldi,21.123541,79.098746,Theft_Burglary,2025-02-27 09:24:36.541234,19,Evening,Thursday
Manewada,21.124091,79.078833,Theft_Burglary,2025-03-23 15:24:36.541250,1,Night,Sunday
Sitabuldi,21.083466,79.114769,Robbery_Snatching,2025-08-19 23:24:36.541266,9,Morning,Tuesday
Dharampeth,21.152268,79.082661,Other,2025-05-12 09:24:36.541281,19,Evening,Monday
Dharampeth,21.173638,79.061238,Crimes_Against_Women,2025-07-21 23:24:36.541296,9,Morning,Monday
Dharampeth,21.094097,79.076785,Other,2025-02-15 08:24:36.541313,18,Evening,Saturday
Sadar,21.119453,79.104724,Crimes_Against_Women,2025-03-23 10:24:36.541329,20,Evening,Sunday
Hudkeshwar,21.10232,79.121198,Crimes_Against_Women,2025-02-25 13:24:36.541348,23,Evening,Tuesday
Ajni,21.124787,79.041725,Theft_Burglary,2024-11-07 09:24:36.541365,19,Evening,Thursday
Manewada,21.112905,79.119139,Crimes_Against_Women,2024-09-19 07:24:36.541381,17,Afternoon,Thursday
Mahal,21.164452,79.091596,Theft_Burglary,2025-07-18 03:24:36.541399,13,Afternoon,Friday
Manewada,21.094722,79.049235,Crimes_Against_Women,2024-12-21 09:24:36.541414,19,Evening,Saturday
Sitabuldi,21.185505,79.142611,Theft_Burglary,2025-02-18 00:24:36.541430,10,Morning,Tuesday
Mahal,21.169305,79.148041,Crimes_Against_Women,2024-08-25 12:24:36.541446,22,Evening,Sunday
Sadar,21.116267,79.075407,Crimes_Against_Women,2025-07-03 10:24:36.541462,20,Evening,Thursday
Ajni,21.173042,79.107492,Crimes_Against_Women,2025-02-24 00:24:36.541478,10,Morning,Monday
Hudkeshwar,21.185676,79.09254,Assault_Violence,2025-04-23 03:24:36.541494,13,Afternoon,Wednesday
Sadar,21.187036,79.14878,Assault_Violence,2025-07-13 08:24:36.541513,18,Evening,Sunday
Dharampeth,21.199485,79.135247,Crimes_Against_Women,2025-01-07 11:24:36.541529,21,Evening,Tuesday
Ajni,21.166161,79.125336,Crimes_Against_Women,2025-05-01 08:24:36.541544,18,Evening,Thursday
Sitabuldi,21.092449,79.116357,Other,2025-06-01 18:24:36.541560,4,Night,Sunday
Jaripatka,21.135357,79.054381,Crimes_Against_Women,2025-07-11 09:24:36.541576,19,Evening,Friday
Jaripatka,21.16217,79.09238,Crimes_Against_Women,2025-08-15 05:24:36.541592,15,Afternoon,Friday
Itwari,21.171028,79.075884,Assault_Violence,2025-04-10 21:24:36.541608,7,Morning,Thursday
Dharampeth,21.140987,79.095251,Theft_Burglary,2024-09-13 12:24:36.541623,22,Evening,Friday
Dharampeth,21.178972,79.084439,Crimes_Against_Women,2025-07-19 07:24:36.541640,17,Afternoon,Saturday
Jaripatka,21.178539,79.12066,Theft_Burglary,2025-02-28 02:24:36.541656,12,Afternoon,Friday
Ajni,21.15323,79.119703,Crimes_Against_Women,2024-09-14 18:24:36.541672,4,Night,Saturday
Mahal,21.173996,79.126583,Crimes_Against_Women,2025-07-05 13:24:36.541688,23,Evening,Saturday
Sadar,21.168052,79.030075,Other,2024-09-04 10:24:36.541703,20,Evening,Wednesday
Mankapur,21.10326,79.036206,Crimes_Against_Women,2024-12-14 11:24:36.541719,21,Evening,Saturday
Sitabuldi,21.16572,79.03043,Assault_Violence,2024-11-10 12:24:36.541738,22,Evening,Sunday
